,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
123,124,Miss Fortune,"1,291",1.58:1,25.56%,0.01%,3.72%,133.55,"9,518"
124,125,Veigar,"1,276",1.74:1,35.34%,0.01%,4.37%,145.52,"10,511"
125,126,Hwei,"1,207",1.75:1,31.07%,0.01%,12.48%,135.33,"9,832"
126,127,LeBlanc,"1,171",2.31:1,38.77%,0.01%,8.68%,131.28,"10,511"
127,128,Varus,"1,142",1.89:1,34.68%,0.01%,1.15%,169.29,"11,562"
128,129,Ahri,"1,121",1.91:1,34.79%,0.01%,9.47%,135.82,"9,796"
129,130,Samira,"1,114",1.39:1,27.47%,0%,20.69%,138.7,"9,549"
130,131,Fiora,"1,065",1.67:1,39.34%,0%,5.51%,164.67,"11,234"
131,132,Bard,"1,034",1.7:1,25.73%,0%,0.33%,108.64,"8,670"
132,133,Kassadin,957,1.73:1,31.24%,0%,3.44%,159.94,"10,942"
133,134,Anivia,957,1.95:1,28.21%,0%,1.34%,135.68,"9,170"
134,135,Nilah,939,1.43:1,30.46%,0%,3.39%,170.75,"11,161"
135,136,Annie,923,1.78:1,34.34%,0%,0.72%,129.53,"10,055"
136,137,Kennen,879,1.84:1,36.18%,0%,0.95%,147.26,"10,785"
137,138,Braum,868,2.05:1,34.1%,0%,1.17%,126.07,"9,634"
138,139,Smolder,856,1.4:1,21.73%,0%,3.81%,144.54,"8,817"
139,140,Cassiopeia,845,1.86:1,44.14%,0%,1.82%,166.57,"11,391"
140,141,Gangplank,824,1.62:1,29.85%,0%,1.31%,170.06,"11,443"
141,142,Aphelios,811,1.42:1,30.7%,0%,1.1%,171.91,"10,698"
142,143,Illaoi,800,1.13:1,29.38%,0%,13.33%,145.81,"9,737"
143,144,Seraphine,710,2.19:1,31.97%,0%,1.46%,125.52,"9,430"
144,145,Lulu,706,1.87:1,29.18%,0%,4.57%,130.66,"9,332"
145,146,Lissandra,697,2.01:1,35.58%,0%,1.06%,153.05,"10,484"
146,147,Xerath,691,2.14:1,28.8%,0%,7.78%,115.09,"9,441"
147,148,Azir,658,1.45:1,30.09%,0%,0.65%,155.48,"10,014"
148,149,Karma,631,2.06:1,34.07%,0%,2.67%,125.64,"9,497"
149,150,Vex,623,1.8:1,33.23%,0%,4.04%,134.19,"9,856"
150,151,Kalista,603,1.37:1,26.53%,0%,1.24%,153.07,"10,562"
151,152,Ziggs,585,2.01:1,37.61%,0%,0.32%,156.11,"10,831"
152,153,Sona,549,1.91:1,26.59%,0%,0.21%,87.56,"7,952"
153,154,Syndra,506,1.55:1,19.76%,0%,1.99%,117.87,"8,410"
154,155,Janna,499,1.73:1,25.25%,0%,2.14%,94.7,"7,769"
155,156,Vel'Koz,460,1.87:1,28.48%,0%,0.69%,117.74,"9,292"
156,157,Zilean,458,2:1,27.51%,0%,0.46%,107.44,"8,554"
157,158,Zoe,439,1.83:1,32.57%,0%,0.84%,113.25,"9,672"
158,159,Vladimir,433,1.58:1,31.64%,0%,2.88%,139.61,"9,438"
159,160,Rakan,414,2.06:1,31.88%,0%,0.89%,114.34,"8,887"
160,161,Sivir,383,1.54:1,28.72%,0%,0.54%,180.68,"10,318"
161,162,Orianna,307,1.95:1,29.64%,0%,0.77%,144.32,"9,519"
