,#,챔피언,플레이 수,평점,승률,게임당 픽률,게임당 밴률,cs,gold
103,104,Karma,"4,177",2.36:1,41.27%,0.02%,2.67%,135.5,"9,783"
104,105,Diana,"4,133",1.97:1,49.17%,0.02%,4.43%,169.19,"12,837"
105,106,Yuumi,"4,003",1.88:1,14.41%,0.02%,3.33%,26.73,"5,324"
106,107,Wukong,"3,867",2.39:1,54.1%,0.02%,0.38%,175.76,"13,191"
107,108,Camille,"3,722",2.03:1,45.41%,0.02%,6.17%,142.68,"11,890"
108,109,Riven,"3,611",2.13:1,44.78%,0.02%,0.96%,153.66,"10,932"
109,110,Warwick,"3,584",1.82:1,36.24%,0.02%,4.46%,123.6,"10,102"
110,111,Briar,"3,525",1.77:1,46.24%,0.02%,12.62%,126.2,"11,415"
111,112,Zilean,"3,523",2.64:1,41.16%,0.02%,0.46%,117.09,"9,105"
112,113,Naafiri,"3,494",2.12:1,44.88%,0.02%,1.13%,160.38,"12,387"
113,114,Dr. Mundo,"3,413",2.12:1,49.43%,0.02%,3.22%,183.85,"12,708"
114,115,Gragas,"3,312",2.3:1,48.01%,0.01%,1.79%,159.54,"11,774"
115,116,Soraka,"3,264",2.53:1,37.78%,0.01%,1.26%,80.07,"8,027"
116,117,Galio,"3,213",2.38:1,48.3%,0.01%,1.28%,150.59,"11,078"
117,118,Fiora,"3,076",1.88:1,50.07%,0.01%,5.51%,188.77,"13,227"
118,119,Nunu & Willump,"3,049",1.38:1,25.91%,0.01%,0.44%,92.2,"8,592"
119,120,Gwen,"3,046",2.01:1,50.98%,0.01%,1.65%,198.37,"13,824"
120,121,Viego,"3,003",2.27:1,50.28%,0.01%,8.01%,160.91,"12,648"
121,122,Zac,"2,981",2.82:1,50.69%,0.01%,2.79%,132.8,"11,143"
122,123,Kled,"2,958",2.52:1,52.4%,0.01%,0.83%,171.66,"13,454"
123,124,Jarvan IV,"2,892",2.68:1,46.96%,0.01%,0.83%,157.61,"12,617"
124,125,Maokai,"2,837",2.38:1,51.29%,0.01%,0.87%,135.22,"9,929"
125,126,Talon,"2,752",2.06:1,44.33%,0.01%,0.65%,155.31,"11,644"
126,127,Sona,"2,677",2.46:1,40.49%,0.01%,0.21%,75.69,"8,042"
127,128,Nidalee,"2,622",2.16:1,41.34%,0.01%,2.37%,124.57,"10,546"
128,129,Gnar,"2,424",1.91:1,43.98%,0.01%,0.46%,165.25,"11,936"
129,130,Qiyana,"2,260",2.19:1,49.82%,0.01%,0.49%,170.78,"13,165"
130,131,Kassadin,"2,254",2.42:1,46.94%,0.01%,3.44%,167.49,"12,858"
131,132,Vi,"1,925",1.78:1,39.69%,0.01%,1.78%,128.66,"10,409"
132,133,Blitzcrank,"1,838",1.7:1,29.11%,0.01%,30.91%,65.06,"7,484"
133,134,Olaf,"1,819",1.94:1,46.51%,0.01%,1.61%,177,"12,820"
134,135,Shen,"1,775",2.75:1,47.32%,0.01%,0.45%,134.4,"10,624"
135,136,Illaoi,"1,745",1.52:1,46.25%,0.01%,13.33%,176.3,"12,195"
136,137,Lulu,"1,647",1.97:1,32.73%,0.01%,4.57%,126.38,"9,532"
137,138,Poppy,"1,620",1.99:1,39.63%,0.01%,2.11%,104.22,"8,728"
138,139,Skarner,"1,520",2.24:1,45.33%,0.01%,24.13%,139.05,"10,449"
139,140,Fiddlesticks,"1,392",2:1,43.97%,0.01%,1.16%,122.9,"10,773"
140,141,Bel'Veth,"1,378",2.31:1,50.65%,0.01%,5.01%,152.02,"11,976"
141,142,Taric,"1,338",2.2:1,40.21%,0.01%,0.27%,71.98,"7,752"
142,143,Bard,"1,331",1.86:1,32.16%,0.01%,0.33%,88.84,"8,248"
143,144,Lillia,"1,277",2.13:1,44.87%,0.01%,5.41%,148.36,"10,829"
144,145,K'Sante,"1,244",1.75:1,43.41%,0.01%,2.25%,163.88,"10,876"
145,146,Sejuani,"1,201",2.38:1,47.04%,0.01%,0.4%,150.03,"10,701"
146,147,Rammus,"1,177",1.98:1,46.81%,0.01%,8.14%,133.36,"10,335"
147,148,Nocturne,"1,163",1.86:1,36.63%,0.01%,8.48%,125.7,"9,416"
148,149,Leona,"1,038",1.99:1,37.96%,0%,6.47%,90.9,"8,645"
149,150,Janna,"1,004",1.9:1,29.78%,0%,2.14%,88.2,"7,860"
150,151,Nami,925,2.04:1,28.97%,0%,0.74%,55.83,"6,972"
151,152,Alistar,884,2.16:1,41.63%,0%,1.29%,95.89,"9,054"
152,153,Kayn,852,1.56:1,36.38%,0%,5.9%,141.49,"10,898"
153,154,Amumu,830,1.67:1,34.1%,0%,1.95%,106.1,"9,549"
154,155,Udyr,779,1.66:1,38.25%,0%,1.06%,153.18,"10,974"
155,156,Shyvana,709,1.92:1,47.39%,0%,0.45%,177.72,"12,157"
156,157,Ivern,596,2.01:1,35.07%,0%,0.45%,102.14,"8,579"
157,158,Milio,510,2.08:1,27.84%,0%,2.09%,55.2,"6,414"
158,159,Rakan,490,2.21:1,36.12%,0%,0.89%,85.33,"8,255"
159,160,Braum,445,2.03:1,34.16%,0%,1.17%,92.74,"8,458"
160,161,Elise,409,2.02:1,46.7%,0%,0.7%,128.65,"11,215"
161,162,Kha'Zix,389,1.71:1,26.74%,0%,3.23%,116.07,"9,692"
